#,CPU,Type,Performance,Cores / threads,Year,TDP,Brand
1,Intel Xeon 6960P,server,74.09,72 / 144,2024,500 W,Intel
34,Intel Core Ultra 7 265K,desktop,33.34,20 / 20,2024,125 W,Intel
35,Intel Core Ultra 9 285HX,notebook,33.32,24 / 24,2025,55 W,Intel
36,Intel Core Ultra 7 265KF,desktop,33.29,20 / 20,2024,125 W,Intel
37,Intel Core i9-14900K,desktop,33.20,24 / 32,2023,125 W,Intel
38,Intel Xeon Gold 6442Y,server,33.19,24 / 48,2023,225 W,Intel
39,Intel Xeon w7-3545,server,33.15,24 / 48,2023,310 W,Intel
40,Intel Core i9-13900K,desktop,33.11,24 / 32,2022,125 W,Intel
41,Intel Core i9-14900KF,desktop,33.08,24 / 32,2023,125 W,Intel
42,Intel Xeon Gold 5420+,server,33.01,28 / 56,2023,205 W,Intel
43,Intel Core i9-13900KF,desktop,32.75,24 / 32,2022,125 W,Intel
44,Intel Xeon Gold 6423N,server,32.57,28 / 56,2023,195 W,Intel
45,Intel Core Ultra 9 285,desktop,32.53,24 / 24,2025,65 W,Intel
46,Intel Xeon W-3365,server,32.50,32 / 64,2021,270 W,Intel
47,Intel Xeon Gold 6414U,server,32.44,32 / 64,2023,250 W,Intel
48,Intel Xeon E7-8895 v2,server,32.42,15 / 30,2014,155 W,Intel
49,Intel Xeon w7-2495X,server,32.40,24 / 48,2023,225 W,Intel
50,Intel Core Ultra 9 275HX,notebook,31.77,24 / 24,2025,55 W,Intel
51,Intel Xeon w5-3535X,server,31.49,20 / 40,2024,300 W,Intel
52,Intel Xeon w7-3455,server,31.15,24 / 48,2023,270 W,Intel
53,Intel Xeon w7-2475X,server,30.18,20 / 40,2023,225 W,Intel
54,Intel Xeon Gold 6430,server,30.09,32 / 64,2023,270 W,Intel
55,Intel Xeon Gold 6438N,server,29.94,32 / 64,2023,205 W,Intel
56,Intel Xeon w5-2565X,server,29.70,18 / 36,2024,240 W,Intel
57,Intel Xeon w7-2575X,server,29.66,22 / 44,2024,250 W,Intel
58,Intel Core i7-14700K,desktop,29.62,20 / 28,2023,125 W,Intel
59,Intel Core i7-14700KF,desktop,29.62,20 / 28,2023,125 W,Intel
60,Intel Xeon Gold 5412U,server,29.61,24 / 48,2023,185 W,Intel
61,Intel Xeon Gold 6348,server,29.40,28 / 56,2021,235 W,Intel
62,Intel Xeon Gold 6418H,server,29.32,24 / 48,2023,185 W,Intel
63,Intel Xeon 6511P,server,29.08,16 / 32,2025,150 W,Intel
64,Intel Xeon Gold 6544Y,server,29.02,16 / 32,2023,270 W,Intel
65,Intel Xeon Gold 6554S,server,28.79,36 / 72,2023,270 W,Intel
66,Intel Xeon 6736P,server,28.39,36 / 72,2025,205 W,Intel
67,Intel Core Ultra 7 255HX,notebook,28.22,20 / 20,2025,55 W,Intel
68,Intel Core Ultra 7 265,desktop,28.16,20 / 20,2025,65 W,Intel
69,Intel Core Ultra 7 265HX,notebook,27.90,20 / 20,2025,55 W,Intel
70,Intel Core Ultra 7 265F,desktop,27.85,20 / 20,2025,65 W,Intel
71,Intel Xeon w7-3445,server,27.78,20 / 40,2023,270 W,Intel
72,Intel Core i9-13900F,desktop,27.75,24 / 32,2023,65 W,Intel
73,Intel Xeon Gold 6314U,server,27.74,32 / 64,2021,205 W,Intel
74,Intel Xeon 6517P,server,27.68,16 / 32,2025,190 W,Intel
75,Intel Xeon E7-4880 v2,server,27.47,15 / 30,2014,130 W,Intel
76,Intel Xeon W-3345,server,27.30,24 / 48,2021,250 W,Intel
77,Intel Xeon w5-2555X,server,27.01,14 / 28,2024,252 W,Intel
78,Intel Xeon Gold 6444Y,server,26.75,16 / 32,2023,270 W,Intel
79,Intel Xeon Gold 6342,server,26.70,24 / 48,2021,230 W,Intel
80,Intel Core i9-14900F,desktop,26.55,24 / 32,2024,65 W,Intel
81,Intel Xeon W-3175X,server,26.16,28 / 56,2018,255 W,Intel
82,Intel Xeon Gold 6530,server,26.08,32 / 64,2023,270 W,Intel
83,Intel Core i9-13980HX,notebook,26.07,24 / 32,2023,55 W,Intel
84,Intel Core i7-13700K,desktop,25.96,16 / 24,2022,125 W,Intel
85,Intel Core i7-13700KF,desktop,25.93,16 / 24,2022,125 W,Intel
86,Intel Xeon Gold 5418Y,server,25.89,24 / 48,2023,185 W,Intel
87,Intel Xeon Gold 6336Y,server,25.81,24 / 48,2021,185 W,Intel
88,Intel Core i9-14900,desktop,25.70,24 / 32,2024,65 W,Intel
89,Intel Xeon w5-3525,server,25.70,16 / 32,2024,290 W,Intel
90,Intel Core i9-13900,desktop,25.66,24 / 32,2023,125 W,Intel
91,Intel Xeon w5-2465X,server,25.65,16 / 32,2023,200 W,Intel
92,Intel Xeon w5-3435X,server,25.57,16 / 32,2023,270 W,Intel
93,Intel Xeon Gold 6538N,server,25.46,32 / 64,2023,205 W,Intel
94,Intel Core i9-14900HX,notebook,25.34,24 / 32,2024,55 W,Intel
95,Intel Xeon Silver 4416+,server,25.03,20 / 40,2023,165 W,Intel
96,Intel Core i7-13790F,desktop,24.70,16 / 24,2023,65 W,Intel
97,Intel Core i9-12900KS,desktop,24.68,16 / 24,2022,150 W,Intel
98,Intel Core Ultra 5 245KF,desktop,24.62,14 / 14,2024,125 W,Intel
99,Intel Core Ultra 5 245K,desktop,24.62,14 / 14,2024,125 W,Intel
100,Intel Xeon Gold 6526Y,server,24.50,16 / 32,2023,195 W,Intel
101,Intel Core i9-13900T,desktop,24.23,24 / 32,2023,35 W,Intel
102,Intel Core i9-13900HX,notebook,24.08,24 / 32,2023,55 W,Intel
103,Intel Xeon Gold 6312U,server,24.07,24 / 48,2021,185 W,Intel
104,Intel Xeon Gold 6338N,server,23.87,32 / 64,2021,185 W,Intel
105,Intel Xeon Gold 6330,server,23.86,28 / 56,2021,205 W,Intel
106,Intel Core i7-14700F,desktop,23.51,20 / 28,2024,65 W,Intel
107,Intel Xeon W-3275,server,23.40,28 / 56,2019,205 W,Intel
108,Intel Core i9-12900K,desktop,23.35,16 / 24,2021,125 W,Intel
109,Intel Core i9-13950HX,notebook,23.26,24 / 32,2023,55 W,Intel
110,Intel Core Ultra 7 265T,desktop,23.26,20 / 20,2025,35 W,Intel
111,Intel Core i7-14700,desktop,23.21,20 / 28,2024,65 W,Intel
112,Intel Core i9-12900KF,desktop,23.17,16 / 24,2021,125 W,Intel
113,Intel Xeon w5-2545,server,23.13,12 / 24,2024,210 W,Intel
114,Intel Xeon 6515P,server,23.09,16 / 32,2025,150 W,Intel
115,Intel Xeon Gold 6416H,server,23.03,18 / 36,2023,165 W,Intel
116,Intel Core i9-13900E,desktop,22.95,24 / 32,2023,65 W,Intel
117,Intel Xeon Gold 6258R,server,22.93,28 / 56,2020,205 W,Intel
118,Intel Xeon W-3275M,server,22.92,28 / 56,2019,205 W,Intel
119,Intel Xeon Gold 6338,server,22.81,32 / 64,2021,205 W,Intel
120,Intel Core Ultra 5 245,desktop,22.78,14 / 14,2025,65 W,Intel
121,Intel Core Ultra 5 235HX,notebook,22.75,14 / 14,2025,55 W,Intel
122,Intel Core Ultra 5 235,desktop,22.64,14 / 14,2025,65 W,Intel
123,Intel Core Ultra 5 245HX,notebook,22.46,14 / 14,2025,55 W,Intel
124,Intel Xeon Gold 6354,server,22.34,18 / 36,2021,205 W,Intel
125,Intel Xeon 6505P,server,22.32,12 / 24,2025,150 W,Intel
126,Intel Xeon W-3335,server,22.28,16 / 32,2021,250 W,Intel
127,Intel Core i5-14600KF,desktop,21.92,14 / 20,2023,125 W,Intel
128,Intel Core i5-14600K,desktop,21.88,14 / 20,2023,125 W,Intel
129,Intel Core i7-13700F,desktop,21.67,16 / 24,2023,65 W,Intel
130,Intel Core i9-14900T,desktop,21.64,24 / 32,2024,35 W,Intel
131,Intel Xeon 6724P,server,21.58,16 / 32,2025,210 W,Intel
132,Intel Xeon Gold 6426Y,server,21.52,16 / 32,2023,185 W,Intel
133,Intel Xeon Gold 6346,server,21.40,16 / 32,2021,205 W,Intel
134,Intel Core i5-13600K,desktop,21.35,14 / 20,2022,125 W,Intel
135,Intel Xeon Gold 5320,server,21.30,26 / 52,2021,185 W,Intel
136,Intel Core i5-13600KF,desktop,21.23,14 / 20,2022,125 W,Intel
137,Intel Core i7-14700HX,notebook,21.11,20 / 28,2024,55 W,Intel
138,Intel Xeon w5-2455X,server,21.06,12 / 24,2023,200 W,Intel
139,Intel Core Ultra 9 285T,desktop,20.93,24 / 24,2025,35 W,Intel
140,Intel Xeon E7-8867 v3,server,20.93,16 / 32,2015,165 W,Intel
141,Intel Core i7-13850HX,notebook,20.65,20 / 28,2023,55 W,Intel
142,Intel Xeon Gold 6330N,server,20.62,28 / 56,2021,165 W,Intel
143,Intel Xeon E7-8857 v2,server,20.59,12 / 12,2014,130 W,Intel
144,Intel Core i7-13700,desktop,20.55,16 / 24,2023,65 W,Intel
145,Intel Xeon w5-3425,server,20.52,12 / 24,2023,270 W,Intel
146,Intel Xeon Gold 6242R,server,20.42,20 / 40,2020,205 W,Intel
147,Intel Core i9-12900F,desktop,20.35,16 / 24,2022,65 W,Intel
148,Intel Xeon Gold 6338T,server,20.30,24 / 48,2021,165 W,Intel
149,Intel Xeon Gold 5416S,server,20.14,16 / 32,2023,150 W,Intel
150,Intel Xeon W-3265M,server,20.13,24 / 48,2019,205 W,Intel
151,Intel Xeon Gold 6130H,server,20.10,16 / 32,2018,125 W,Intel
152,Intel Xeon Gold 6248R,server,20.09,24 / 48,2020,205 W,Intel
153,Intel Xeon Gold 6238R,server,19.71,28 / 56,2020,165 W,Intel
154,Intel Core Ultra 7 265H,notebook,19.67,16 / 16,2025,26 W,Intel
155,Intel Core i7-14650HX,notebook,19.61,16 / 24,2024,55 W,Intel
156,Intel Core i7-12700K,desktop,19.48,12 / 20,2021,125 W,Intel
157,Intel Core Ultra 9 285H,notebook,19.44,16 / 16,2025,45 W,Intel
158,Intel Core i7-12700KF,desktop,19.31,12 / 20,2021,125 W,Intel
159,Intel Xeon Gold 6326,server,19.21,16 / 32,2021,185 W,Intel
160,Intel Core i7-13700E,desktop,19.18,16 / 24,2023,65 W,Intel
161,Intel Xeon D-2799,server,19.16,20 / 40,2022,129 W,Intel
162,Intel Core i9-12900,desktop,19.11,16 / 24,2022,65 W,Intel
163,Intel Xeon w3-2535,server,18.92,10 / 20,2024,185 W,Intel
164,Intel Xeon Gold 6240R,server,18.91,24 / 48,2020,165 W,Intel
165,Intel Core i9-12900HX,notebook,18.80,16 / 24,2022,55 W,Intel
166,Intel Xeon Gold 5318Y,server,18.79,24 / 48,2021,165 W,Intel
167,Intel Xeon Silver 4510,server,18.54,12 / 24,2023,150 W,Intel
168,Intel Xeon Gold 6230R,server,18.48,26 / 52,2020,150 W,Intel
169,Intel Xeon Silver 4316,server,18.46,20 / 40,2021,150 W,Intel
170,Intel Core Ultra 5 245T,desktop,18.40,14 / 14,2025,65 W,Intel
171,Intel Xeon Gold 6254,server,18.34,18 / 36,2019,200 W,Intel
172,Intel Core i5-14600,desktop,18.33,14 / 20,2024,65 W,Intel
173,Intel Xeon w5-2445,server,18.27,10 / 20,2023,175 W,Intel
174,Intel Core i9-10980XE,desktop,18.25,18 / 36,2019,165 W,Intel
175,Intel Core i7-13700HX,notebook,18.24,16 / 24,2023,55 W,Intel
176,Intel Core Ultra 5 235T,desktop,18.16,14 / 14,2025,65 W,Intel
177,Intel Xeon E-2488,server,18.08,8 / 16,2023,95 W,Intel
178,Intel Xeon Gold 5320H,server,17.99,20 / 40,2021,150 W,Intel
179,Intel Core i7-14700T,desktop,17.92,20 / 28,2024,35 W,Intel
180,Intel Core Ultra 5 225F,desktop,17.90,10 / 10,2025,65 W,Intel
181,Intel Core i5-13600,desktop,17.87,14 / 20,2023,65 W,Intel
182,Intel Core i9-12950HX,notebook,17.86,16 / 24,2022,55 W,Intel
183,Intel Xeon 6507P,server,17.71,8 / 16,2025,150 W,Intel
184,Intel Core i7-12800HX,notebook,17.71,16 / 24,2022,55 W,Intel
185,Intel Core i5-14500,desktop,17.71,14 / 20,2024,65 W,Intel
186,Intel Core Ultra 5 225,desktop,17.65,10 / 10,2025,65 W,Intel
187,Intel Core i5-13500,desktop,17.65,14 / 20,2023,65 W,Intel
188,Intel Xeon W-3245,server,17.63,16 / 32,2019,205 W,Intel
189,Intel Xeon W-2295,server,17.57,18 / 36,2019,165 W,Intel
190,Intel Xeon E7-4890 v2,server,17.55,15 / 30,2014,155 W,Intel
191,Intel Core Ultra 7 255H,notebook,17.51,16 / 16,2025,26 W,Intel
192,Intel Core i7-12850HX,notebook,17.35,16 / 24,2022,55 W,Intel
193,Intel Core i7-13650HX,notebook,17.32,14 / 20,2023,0 W,Intel
194,Intel Xeon Gold 6246R,server,17.28,16 / 32,2020,205 W,Intel
195,Intel Xeon Silver 4514Y,server,17.26,16 / 32,2023,150 W,Intel
196,Intel Xeon 6357P,server,17.24,8 / 16,2025,80 W,Intel
197,Intel Xeon Gold 5220R,server,17.22,24 / 48,2020,150 W,Intel
198,Intel Core i7-12700F,desktop,17.20,12 / 20,2022,65 W,Intel
199,Intel Core i9-14901E,desktop,17.18,8 / 16,2024,65 W,Intel
200,Intel Xeon Gold 5320T,server,17.16,20 / 40,2021,150 W,Intel
201,Intel Core i9-9990XE,desktop,17.10,14 / 28,2018,255 W,Intel
202,Intel Xeon W-3265,server,17.07,24 / 48,2019,205 W,Intel
203,Intel Core i7-12700,desktop,17.04,12 / 20,2022,65 W,Intel
204,Intel Core i9-9960X,desktop,16.97,16 / 32,2018,165 W,Intel
205,Intel Core Ultra 5 235H,notebook,16.91,14 / 14,2025,20 W,Intel
206,Intel Core i9-13905H,notebook,16.90,14 / 20,2023,45 W,Intel
207,Intel Xeon Gold 6534,server,16.89,8 / 16,2023,195 W,Intel
208,Intel Core i9-7980XE,desktop,16.81,18 / 36,2017,165 W,Intel
209,Intel Core i9-12900T,desktop,16.79,16 / 24,2022,35 W,Intel
210,Intel Xeon Gold 6248,server,16.75,20 / 40,2019,150 W,Intel
211,Intel Core Ultra 9 185H,notebook,16.65,16 / 22,2023,0 W,Intel
212,Intel Xeon Gold 5318H,server,16.62,18 / 36,2021,150 W,Intel
213,Intel Core i9-9980XE,desktop,16.52,18 / 36,2018,165 W,Intel
214,Intel Xeon Silver 4510T,server,16.51,12 / 24,2023,115 W,Intel
215,Intel Xeon Gold 6238,server,16.51,22 / 44,2019,140 W,Intel
216,Intel Xeon Silver 4314,server,16.50,16 / 32,2021,135 W,Intel
217,Intel Xeon Gold 6148,server,16.46,20 / 40,2017,150 W,Intel
218,Intel Xeon Gold 6210U,server,16.37,20 / 40,2019,150 W,Intel
219,Intel Core Ultra 5 225H,notebook,16.34,14 / 14,2025,20 W,Intel
220,Intel Xeon w3-2525,server,16.24,8 / 16,2024,175 W,Intel
221,Intel Xeon W-3245M,server,16.16,16 / 32,2019,205 W,Intel
222,Intel Xeon D-2795NT,server,16.14,20 / 40,2022,110 W,Intel
223,Intel Core i5-14500HX,notebook,16.09,14 / 20,2024,0 W,Intel
224,Intel Core 9 270H,notebook,16.09,14 / 20,2024,45 W,Intel
225,Intel Xeon W-2191B,server,16.06,18 / 36,2017,140 W,Intel
226,Intel Core i7-12700E,desktop,16.05,12 / 20,2022,65 W,Intel
227,Intel Xeon 6369P,server,16.00,8 / 16,2025,95 W,Intel
228,Intel Core i5-13600T,desktop,15.99,14 / 20,2023,35 W,Intel
229,Intel Core i9-12900E,desktop,15.97,16 / 24,2022,65 W,Intel
230,Intel Xeon Gold 6434,server,15.94,8 / 16,2023,195 W,Intel
231,Intel Core i9-9940X,desktop,15.93,14 / 28,2018,165 W,Intel
232,Intel Core i9-7960X,desktop,15.89,16 / 32,2017,165 W,Intel
233,Intel Xeon W-2195,server,15.87,18 / 36,2017,140 W,Intel
234,Intel Xeon W-2275,server,15.86,14 / 28,2019,165 W,Intel
235,Intel Core i7-13700T,desktop,15.83,16 / 24,2023,35 W,Intel
236,Intel Xeon W-3323,server,15.78,12 / 24,2021,220 W,Intel
237,Intel Core i5-13500HX,notebook,15.77,14 / 20,2023,0 W,Intel
238,Intel Xeon E-2478,server,15.75,8 / 16,2023,80 W,Intel
239,Intel Core i9-10940X,desktop,15.70,14 / 28,2019,165 W,Intel
240,Intel Core i5-13600HX,notebook,15.68,14 / 20,2023,0 W,Intel
241,Intel Core i5-14490F,desktop,15.66,10 / 16,2024,65 W,Intel
242,Intel Core i5-12600KF,desktop,15.65,10 / 16,2021,125 W,Intel
243,Intel Core i5-12600K,desktop,15.64,10 / 16,2021,125 W,Intel
244,Intel Core i7-14701TE,desktop,15.61,8 / 16,2024,45 W,Intel
245,Intel Xeon Gold 6212U,server,15.58,24 / 48,2019,165 W,Intel
246,Intel Core i9-13900H,notebook,15.57,14 / 20,2023,45 W,Intel
247,Intel Xeon Gold 6154,server,15.57,18 / 36,2017,200 W,Intel
248,Intel Xeon Gold 5317,server,15.57,12 / 24,2021,150 W,Intel
249,Intel Xeon D-2775TE,server,15.48,16 / 32,2022,100 W,Intel
250,Intel Xeon Silver 4410T,server,15.45,10 / 20,2023,150 W,Intel
251,Intel Core i5-14600T,desktop,15.45,14 / 20,2024,35 W,Intel
252,Intel Core i9-13900HK,notebook,15.44,14 / 20,2023,45 W,Intel
253,Intel Xeon Gold 6252,server,15.40,24 / 48,2019,150 W,Intel
254,Intel Core i9-12900H,notebook,15.36,14 / 20,2022,45 W,Intel
255,Intel Core i5-13400E,desktop,15.31,10 / 16,2023,65 W,Intel
256,Intel Xeon 6353P,server,15.26,8 / 16,2025,65 W,Intel
257,Intel Core Ultra 5 225T,desktop,15.24,10 / 10,2025,65 W,Intel
258,Intel Xeon E5-2699A v4,server,15.17,22 / 44,2016,145 W,Intel
259,Intel Core i5-13490F,desktop,15.12,10 / 16,2023,65 W,Intel
260,Intel Xeon E-2468,server,15.11,8 / 16,2023,65 W,Intel
261,Intel Xeon w3-2435,server,15.03,8 / 16,2023,165 W,Intel
262,Intel Xeon Gold 6150,server,15.00,18 / 36,2017,165 W,Intel
263,Intel Core i7-13800H,notebook,14.95,14 / 20,2023,45 W,Intel
264,Intel Xeon Gold 5515+,server,14.95,8 / 16,2023,165 W,Intel
265,Intel Xeon D-2796TE,server,14.94,20 / 40,2022,118 W,Intel
266,Intel Xeon Gold 6226R,server,14.90,16 / 32,2020,150 W,Intel
267,Intel Core i7-13700H,notebook,14.83,14 / 20,2023,45 W,Intel
268,Intel Core i7-14701E,desktop,14.83,8 / 16,2024,65 W,Intel
269,Intel Core i7-12800HE,notebook,14.80,14 / 20,2022,45 W,Intel
270,Intel Xeon Gold 6230,server,14.79,20 / 40,2019,125 W,Intel
271,Intel Xeon E7-8880 v2,server,14.72,15 / 30,2014,130 W,Intel
272,Intel Xeon 6349P,server,14.72,6 / 12,2025,95 W,Intel
273,Intel Core i9-10920X,desktop,14.67,12 / 24,2019,165 W,Intel
274,Intel Core Ultra 7 165H,notebook,14.65,16 / 22,2023,0 W,Intel
275,Intel Xeon W-2265,server,14.57,12 / 24,2019,165 W,Intel
276,Intel Core i5-14400F,desktop,14.56,10 / 16,2024,65 W,Intel
277,Intel Core 7 250H,notebook,14.55,14 / 20,2024,45 W,Intel
278,Intel Xeon W-3235,server,14.49,12 / 24,2019,180 W,Intel
279,Intel Core i9-12900HK,notebook,14.47,14 / 20,2022,45 W,Intel
280,Intel Xeon Gold 6142,server,14.45,16 / 32,2017,150 W,Intel
281,Intel Core i9-7940X,desktop,14.43,14 / 28,2017,165 W,Intel
282,Intel Xeon Gold 6209U,server,14.42,20 / 40,2019,125 W,Intel
283,Intel Core i7-12700H,notebook,14.39,14 / 20,2022,45 W,Intel
284,Intel Xeon Gold 6256,server,14.37,12 / 24,2020,205 W,Intel
285,Intel Core i5-14400,desktop,14.36,10 / 16,2024,65 W,Intel
286,Intel Core i5-13400F,desktop,14.20,10 / 16,2023,65 W,Intel
287,Intel Xeon W-1390P,server,14.19,8 / 16,2021,125 W,Intel
288,Intel Xeon E5-2696 v4,server,14.18,22 / 44,2016,150 W,Intel
289,Intel Xeon Gold 5218R,server,14.18,20 / 40,2020,125 W,Intel
290,Intel Xeon Gold 6242,server,14.17,16 / 32,2019,150 W,Intel
291,Intel Core i9-11900K,desktop,14.17,8 / 16,2021,125 W,Intel
292,Intel Core i9-9920X,desktop,14.16,12 / 24,2018,165 W,Intel
293,Intel Xeon Gold 6240,server,14.13,18 / 36,2019,150 W,Intel
294,Intel Core i7-13705H,notebook,14.12,14 / 20,2023,45 W,Intel
295,Intel Xeon Silver 4410Y,server,14.12,12 / 24,2023,150 W,Intel
296,Intel Core i5-13450HX,notebook,14.11,10 / 16,2023,0 W,Intel
297,Intel Xeon Gold 5415+,server,14.09,8 / 16,2023,150 W,Intel
298,Intel Xeon Gold 6143,server,14.06,16 / 32,2017,205 W,Intel
299,Intel Core 7 240H,notebook,14.03,10 / 16,2024,45 W,Intel
300,Intel Xeon E5-2699 v4,server,14.01,22 / 44,2016,145 W,Intel
301,Intel Core Ultra 7 155H,notebook,14.01,16 / 22,2023,0 W,Intel
302,Intel Core i9-11900KF,desktop,13.94,8 / 16,2021,125 W,Intel
303,Intel Xeon Gold 6208U,server,13.88,16 / 32,2020,150 W,Intel
304,Intel Xeon Gold 5220,server,13.88,18 / 36,2019,125 W,Intel
305,Intel Xeon W-2170B,server,13.86,14 / 28,2017,140 W,Intel
306,Intel Core i5-12600HX,notebook,13.83,12 / 16,2022,55 W,Intel
307,Intel Core i7-11700K,desktop,13.82,8 / 16,2021,125 W,Intel
308,Intel Xeon Gold 6152,server,13.77,22 / 44,2017,140 W,Intel
309,Intel Xeon Gold 6222V,server,13.75,20 / 40,2019,115 W,Intel
310,Intel Xeon Gold 6140,server,13.72,18 / 36,2017,140 W,Intel
311,Intel Xeon E5-2679 v4,server,13.68,20 / 40,2016,200 W,Intel
312,Intel Core i7-12800H,notebook,13.68,14 / 20,2022,45 W,Intel
313,Intel Xeon Gold 6138,server,13.67,20 / 40,2017,125 W,Intel
314,Intel Core i5-13500E,desktop,13.66,14 / 20,2023,65 W,Intel
315,Intel Xeon D-2766NT,server,13.62,14 / 28,2022,97 W,Intel
316,Intel Xeon W-1390,server,13.55,8 / 16,2021,80 W,Intel
317,Intel Core i7-13620H,notebook,13.51,10 / 16,2023,45 W,Intel
318,Intel Core i7-11700KF,desktop,13.50,8 / 16,2021,125 W,Intel
319,Intel Xeon Gold 6122,server,13.49,20 / 40,2018,120 W,Intel
320,Intel Core i5-13400,desktop,13.47,10 / 16,2023,65 W,Intel
321,Intel Xeon W-1370P,server,13.44,8 / 16,2021,125 W,Intel
322,Intel Xeon E-2388G,server,13.37,8 / 16,2021,95 W,Intel
323,Intel Core i9-7920X,desktop,13.33,12 / 24,2017,140 W,Intel
324,Intel Xeon W-2175,server,13.33,14 / 28,2017,140 W,Intel
325,Intel Core i5-14450HX,notebook,13.33,10 / 16,2024,0 W,Intel
326,Intel Core i5-13600H,notebook,13.17,12 / 16,2023,45 W,Intel
327,Intel Xeon W-1370,server,13.01,8 / 16,2021,80 W,Intel
328,Intel Core i9-12900TE,desktop,12.98,16 / 24,2022,35 W,Intel
329,Intel Core i5-14500T,desktop,12.97,14 / 20,2024,35 W,Intel
330,Intel Core i5-12600HE,notebook,12.94,12 / 16,2022,45 W,Intel
331,Intel Core i7-12650HX,notebook,12.92,14 / 20,2022,55 W,Intel
332,Intel Xeon E5-2698 v4,server,12.91,20 / 40,2016,135 W,Intel
333,Intel Core i9-11900KB,desktop,12.87,8 / 16,2021,65 W,Intel
334,Intel Core i5-13500T,desktop,12.83,14 / 20,2023,35 W,Intel
335,Intel Xeon Gold 6146,server,12.81,12 / 24,2017,165 W,Intel
336,Intel Xeon Gold 6246,server,12.80,12 / 24,2019,165 W,Intel
337,Intel Xeon E5-4640 v4,server,12.79,12 / 24,2016,105 W,Intel
338,Intel Xeon W-2255,server,12.76,10 / 20,2019,165 W,Intel
339,Intel Core i9-11900,desktop,12.72,8 / 16,2021,65 W,Intel
340,Intel Core i9-10900K,desktop,12.70,10 / 20,2020,125 W,Intel
341,Intel Xeon W-1290P,server,12.69,10 / 20,2020,125 W,Intel
342,Intel Core i9-10900X,desktop,12.69,10 / 20,2019,165 W,Intel
343,Intel Core i9-11980HK,notebook,12.61,8 / 16,2021,45 W,Intel
344,Intel Xeon Gold 6132,server,12.61,14 / 28,2017,140 W,Intel
345,Intel Core i9-10900KF,desktop,12.61,10 / 20,2020,125 W,Intel
346,Intel Core Ultra 5 135H,notebook,12.54,14 / 18,2023,0 W,Intel
347,Intel Core i9-11900F,desktop,12.51,8 / 16,2021,65 W,Intel
348,Intel Core i7-13700TE,desktop,12.49,16 / 24,2023,35 W,Intel
349,Intel Core i9-10850K,desktop,12.46,10 / 20,2020,125 W,Intel
350,Intel Core i5-13500TE,desktop,12.44,14 / 20,2023,35 W,Intel
351,Intel Xeon Silver 4310,server,12.42,12 / 24,2021,120 W,Intel
352,Intel Xeon Gold 6262,server,12.38,24 / 48,2019,135 W,Intel
353,Intel Xeon Gold 6130T,server,12.36,16 / 32,2017,125 W,Intel
